Data Preprocessing Report
3.32_48_CP: 5.51% missing
3.33_48_CP: 5.51% missing
3.34_48_CP: 5.51% missing
3.35_48: 5.51% missing
3.36_48_CP: 5.51% missing
3.37_48_CP: 5.51% missing
3.38_48: 5.51% missing
3.39_48: 5.51% missing
3.40_48_CP: 5.51% missing
3.41_48: 5.51% missing
3.42_48: 5.51% missing
3.43_48: 5.51% missing
3.44_48: 5.51% missing
3.45_48: 5.51% missing
3.46_48: 5.51% missing
3.47_48: 5.51% missing
3.48_48: 5.51% missing
3.49_48: 5.51% missing
3.50_48: 5.51% missing
3.51_48: 5.51% missing
3.52_48: 5.51% missing
3.53_48: 5.51% missing
3.54_48: 5.51% missing
3.55_46: 5.51% missing
3.56_42: 5.51% missing
4.38_42: 5.51% missing
4.39_43: 5.51% missing
4.40_44: 5.51% missing
4.41_48: 5.51% missing
4.42_48: 5.51% missing
4.43_48: 5.51% missing
4.44_48: 5.51% missing
4.45_48: 5.51% missing
4.46_48: 5.51% missing
4.47_48: 5.51% missing
4.48_48: 5.51% missing
4.49_48: 5.51% missing
4.50_48: 5.51% missing
4.51_48: 5.51% missing
4.52_48: 5.51% missing
4.53_48: 5.51% missing
4.54_48: 5.51% missing
4.55_48: 5.51% missing
4.56_48_CP: 5.51% missing
4.57_48_CP: 5.51% missing
4.58_48_CP: 5.51% missing
4.59_48_CP: 5.51% missing
4.60_48_CP: 5.51% missing
4.61_48_CP: 5.51% missing
4.62_48: 5.51% missing
4.63_46: 5.51% missing
4.64_37: 5.51% missing
5.33_21_CP: 5.51% missing
5.34_23: 5.51% missing
5.35_35_CP: 5.51% missing
5.36_40_CP: 5.51% missing
5.37_41_CP: 5.51% missing
5.38_44: 5.51% missing
5.39_47_CP: 5.51% missing
5.40_48_CP: 5.51% missing
5.41_48: 5.51% missing
5.42_48: 5.51% missing
5.43_48_CP: 5.51% missing
5.44_48_CP: 5.51% missing
5.45_48: 5.51% missing
5.46_48_CP: 5.51% missing
5.47_48_CP: 5.51% missing
5.48_47: 5.51% missing
5.49_48: 5.51% missing
5.50_48: 5.51% missing
5.51_48: 5.51% missing
5.52_48: 5.51% missing
5.53_48: 5.51% missing
5.54_48: 5.51% missing
5.55_48: 5.51% missing
5.56_48: 5.51% missing
5.57_48: 5.51% missing
5.58_48: 5.51% missing
5.59_48: 5.51% missing
5.60_48: 5.51% missing
5.61_48: 5.51% missing
5.62_47: 5.51% missing
5.63_46: 5.51% missing
5.64_46: 5.51% missing
5.65_45: 5.51% missing
5.66_44: 5.51% missing
5.67_44: 5.51% missing
5.68_40: 5.51% missing
5.69_31: 5.51% missing
5.70_29: 5.51% missing
5.71_28: 5.51% missing
5.72_27: 5.51% missing
6.24_23: 5.51% missing
6.25_27: 5.51% missing
6.26_31: 5.51% missing
6.27_33: 5.51% missing
6.28_36: 5.51% missing
6.29_41: 5.51% missing
6.30_43: 5.51% missing
6.31_45: 5.51% missing
6.32_46: 5.51% missing
6.33_48: 5.51% missing
6.34_48: 5.51% missing
6.35_48: 5.51% missing
6.36_48: 5.51% missing
6.37_48: 5.51% missing
6.38_48: 5.51% missing
6.39_48: 5.51% missing
6.40_48: 5.51% missing
6.41_48: 5.51% missing
6.42_48: 5.51% missing
6.43_48: 5.51% missing
6.44_48_CP: 5.51% missing
6.45_48: 5.51% missing
6.46_48: 5.51% missing
6.47_48: 5.51% missing
6.48_48_CP: 5.51% missing
6.49_48: 5.51% missing
6.50_48: 5.51% missing
6.51_48_CP: 5.51% missing
6.52_47_CP: 5.51% missing
6.53_47: 5.51% missing
6.54_46_CP: 5.51% missing
6.55_44_CP: 5.51% missing
6.56_44: 5.51% missing
6.57_43: 5.51% missing
6.58_43_CP: 5.51% missing
6.59_40_CP: 5.51% missing
6.60_39: 5.51% missing
6.61_39_CP: 5.51% missing
7.30_23_CP: 5.51% missing
7.31_39_CP: 5.51% missing
7.32_45: 5.51% missing
7.33_46_CP: 5.51% missing
7.34_47_CP: 5.51% missing
7.35_48_CP: 5.51% missing
7.36_48: 5.51% missing
7.37_48_CP: 5.51% missing
7.38_48_CP: 5.51% missing
7.39_48_CP: 5.51% missing
7.40_48: 5.51% missing
7.41_48_CP: 5.51% missing
7.42_48_CP: 5.51% missing
7.43_48: 5.51% missing
7.44_48: 5.51% missing
7.45_48: 5.51% missing
7.46_48: 5.51% missing
7.47_48: 5.51% missing
7.48_48: 5.51% missing
7.49_48: 5.51% missing
7.50_48: 5.51% missing
7.51_48: 5.51% missing
7.52_48: 5.51% missing
7.53_48: 5.51% missing
7.54_47: 5.51% missing
7.55_46: 5.51% missing
7.56_45: 5.51% missing
8.47_45: 5.51% missing
8.48_45: 5.51% missing
8.49_45: 5.51% missing
8.50_46: 5.51% missing
8.51_46: 5.51% missing
8.52_46: 5.51% missing
8.53_46: 5.51% missing
8.54_45: 5.51% missing
8.55_46: 5.51% missing
8.56_46: 5.51% missing
8.57_45: 5.51% missing
8.58_41: 5.51% missing
8.59_38: 5.51% missing
8.60_26: 5.51% missing
8.61_22: 5.51% missing
12.48_32: 5.51% missing
12.49_32: 5.51% missing
12.50_32: 5.51% missing
12.51_32: 5.51% missing
23.49_28: 5.51% missing
23.50_28: 5.51% missing
23.51_28: 5.51% missing
23.52_28: 5.51% missing
34.50_34: 5.51% missing
34.51_34: 5.51% missing
34.52_34: 5.51% missing
34.53_34: 5.51% missing
34.54_33: 5.51% missing
34.55_32: 5.51% missing
34.56_29: 5.51% missing
34.57_26: 5.51% missing
45.50_40: 5.51% missing
45.51_40: 5.51% missing
45.52_40: 5.51% missing
C1_47: 5.51% missing
C2_46: 5.51% missing
C3_46: 5.51% missing
C4_46: 5.51% missing
C5_45: 5.51% missing
C6_45: 5.51% missing
C7_44: 5.51% missing
C8_43: 5.51% missing
C9_42: 5.51% missing
C10_41: 5.51% missing
C11_41: 5.51% missing
C12_41: 5.51% missing
C13_40: 5.51% missing
C14_40: 5.51% missing
C15_39: 5.51% missing
C16_39: 5.51% missing
C17_39: 5.51% missing
C18_38: 5.51% missing
C19_37: 5.51% missing
C20_36: 5.51% missing
C21_36: 5.51% missing
C22_35: 5.51% missing
C23_35: 5.51% missing
C24_34: 5.51% missing
C25_33: 5.51% missing
C26_32: 5.51% missing
C27_31: 5.51% missing
C28_31: 5.51% missing
C29_30: 5.51% missing
C30_29: 5.51% missing
C31_29: 5.51% missing
C32_29: 5.51% missing
C33_28: 5.51% missing
C34_27: 5.51% missing
C35_26: 5.51% missing
C36_25: 5.51% missing
C37_24: 5.51% missing
C38_23: 5.51% missing
C39_23: 5.51% missing
C40_22: 5.51% missing
C41_21: 5.51% missing
N1_48: 5.51% missing
N2_45: 5.51% missing
N3_45: 5.51% missing
N4_44: 5.51% missing
N5_44: 5.51% missing
N6_44: 5.51% missing
N7_44: 5.51% missing
N8_44: 5.51% missing
N9_44: 5.51% missing
N10_43: 5.51% missing
N11_42: 5.51% missing
N12_42: 5.51% missing
N13_41: 5.51% missing
N14_41: 5.51% missing
N15_40: 5.51% missing
N16_40: 5.51% missing
N17_40: 5.51% missing
N18_39: 5.51% missing
N19_38: 5.51% missing
N20_38: 5.51% missing
N21_37: 5.51% missing
N22_36: 5.51% missing
N23_36: 5.51% missing
N24_35: 5.51% missing
N25_34: 5.51% missing
N26_32: 5.51% missing
N27_31: 5.51% missing
N28_31: 5.51% missing
N29_30: 5.51% missing
N30_28: 5.51% missing
N31_27: 5.51% missing
N32_26: 5.51% missing
N33_26: 5.51% missing
N34_25: 5.51% missing
N35_24: 5.51% missing
N36_24: 5.51% missing
N37_23: 5.51% missing
N38_22: 5.51% missing
N39_21: 5.51% missing

Random Subset:
totalCP: 5.48% missing
paeR_mean: 5.48% missing
paeL_mean: 5.48% missing
favorability_mean: 5.48% missing
ligContacts_N-term: 5.48% missing
ligContacts_TM1: 5.48% missing
ligContacts_ICL1: 5.48% missing
ligContacts_TM2: 5.48% missing
ligContacts_ECL1: 5.48% missing
ligContacts_TM3: 5.48% missing
ligContacts_ICL2: 5.48% missing
ligContacts_TM4: 5.48% missing
ligContacts_ECL2: 5.48% missing
ligContacts_TM5: 5.48% missing
ligContacts_ICL3: 5.48% missing
ligContacts_TM6: 5.48% missing
ligContacts_ECL3: 5.48% missing
ligContacts_TM7: 5.48% missing
ligContacts_H8: 5.48% missing
ligContacts_C-term: 5.48% missing
1.28_25_CP: 5.48% missing
1.29_33: 5.48% missing
1.30_37: 5.48% missing
1.31_39: 5.48% missing
1.32_43: 5.48% missing
1.33_45: 5.48% missing
1.34_45: 5.48% missing
1.35_48_CP: 5.48% missing
1.36_48: 5.48% missing
1.37_48: 5.48% missing
1.38_48: 5.48% missing
1.39_48_CP: 5.48% missing
1.40_48: 5.48% missing
1.41_48: 5.48% missing
1.42_48: 5.48% missing
1.43_48: 5.48% missing
1.44_48: 5.48% missing
1.45_48: 5.48% missing
1.46_48: 5.48% missing
1.47_48: 5.48% missing
1.48_48: 5.48% missing
1.49_48: 5.48% missing
1.50_48: 5.48% missing
1.51_48: 5.48% missing
1.52_48: 5.48% missing
1.53_48: 5.48% missing
1.54_48: 5.48% missing
1.55_48: 5.48% missing
1.56_48: 5.48% missing
1.57_48: 5.48% missing
1.58_48: 5.48% missing
1.59_47: 5.48% missing
1.60_47: 5.48% missing
2.37_42: 5.48% missing
2.38_45: 5.48% missing
2.39_47: 5.48% missing
2.40_48: 5.48% missing
2.41_48: 5.48% missing
2.42_48: 5.48% missing
2.43_48: 5.48% missing
2.44_48: 5.48% missing
2.45_48: 5.48% missing
2.46_48: 5.48% missing
2.47_47: 5.48% missing
2.48_48: 5.48% missing
2.49_48: 5.48% missing
2.50_48: 5.48% missing
2.51_48: 5.48% missing
2.52_48: 5.48% missing
2.53_48_CP: 5.48% missing
2.54_48: 5.48% missing
2.55_48: 5.48% missing
2.56_48_CP: 5.48% missing
2.57_48_CP: 5.48% missing
2.58_48: 5.48% missing
2.59_48_CP: 5.48% missing
2.60_48_CP: 5.48% missing
2.61_46_CP: 5.48% missing
2.62_44: 5.48% missing
2.63_43_CP: 5.48% missing
2.64_40_CP: 5.48% missing
2.65_38: 5.48% missing
2.66_37: 5.48% missing
2.67_27: 5.48% missing
3.21_39_CP: 5.48% missing
3.22_43: 5.48% missing
3.23_45: 5.48% missing
3.24_47: 5.48% missing
3.25_48: 5.48% missing
3.26_48_CP: 5.48% missing
3.27_48: 5.48% missing
3.28_48_CP: 5.48% missing
3.29_48_CP: 5.48% missing
3.30_48_CP: 5.48% missing
3.31_48: 5.48% missing
3.32_48_CP: 5.48% missing
3.33_48_CP: 5.48% missing
3.34_48_CP: 5.48% missing
3.35_48: 5.48% missing
3.36_48_CP: 5.48% missing
3.37_48_CP: 5.48% missing
3.38_48: 5.48% missing
3.39_48: 5.48% missing
3.40_48_CP: 5.48% missing
3.41_48: 5.48% missing
3.42_48: 5.48% missing
3.43_48: 5.48% missing
3.44_48: 5.48% missing
3.45_48: 5.48% missing
3.46_48: 5.48% missing
3.47_48: 5.48% missing
3.48_48: 5.48% missing
3.49_48: 5.48% missing
3.50_48: 5.48% missing
3.51_48: 5.48% missing
3.52_48: 5.48% missing
3.53_48: 5.48% missing
3.54_48: 5.48% missing
3.55_46: 5.48% missing
3.56_42: 5.48% missing
4.38_42: 5.48% missing
4.39_43: 5.48% missing
4.40_44: 5.48% missing
4.41_48: 5.48% missing
4.42_48: 5.48% missing
4.43_48: 5.48% missing
4.44_48: 5.48% missing
4.45_48: 5.48% missing
4.46_48: 5.48% missing
4.47_48: 5.48% missing
4.48_48: 5.48% missing
4.49_48: 5.48% missing
4.50_48: 5.48% missing
4.51_48: 5.48% missing
4.52_48: 5.48% missing
4.53_48: 5.48% missing
4.54_48: 5.48% missing
4.55_48: 5.48% missing
4.56_48_CP: 5.48% missing
4.57_48_CP: 5.48% missing
4.58_48_CP: 5.48% missing
4.59_48_CP: 5.48% missing
4.60_48_CP: 5.48% missing
4.61_48_CP: 5.48% missing
4.62_48: 5.48% missing
4.63_46: 5.48% missing
4.64_37: 5.48% missing
5.33_21_CP: 5.48% missing
5.34_23: 5.48% missing
5.35_35_CP: 5.48% missing
5.36_40_CP: 5.48% missing
5.37_41_CP: 5.48% missing
5.38_44: 5.48% missing
5.39_47_CP: 5.48% missing
5.40_48_CP: 5.48% missing
5.41_48: 5.48% missing
5.42_48: 5.48% missing
5.43_48_CP: 5.48% missing
5.44_48_CP: 5.48% missing
5.45_48: 5.48% missing
5.46_48_CP: 5.48% missing
5.47_48_CP: 5.48% missing
5.48_47: 5.48% missing
5.49_48: 5.48% missing
5.50_48: 5.48% missing
5.51_48: 5.48% missing
5.52_48: 5.48% missing
5.53_48: 5.48% missing
5.54_48: 5.48% missing
5.55_48: 5.48% missing
5.56_48: 5.48% missing
5.57_48: 5.48% missing
5.58_48: 5.48% missing
5.59_48: 5.48% missing
5.60_48: 5.48% missing
5.61_48: 5.48% missing
5.62_47: 5.48% missing
5.63_46: 5.48% missing
5.64_46: 5.48% missing
5.65_45: 5.48% missing
5.66_44: 5.48% missing
5.67_44: 5.48% missing
5.68_40: 5.48% missing
5.69_31: 5.48% missing
5.70_29: 5.48% missing
5.71_28: 5.48% missing
5.72_27: 5.48% missing
6.24_23: 5.48% missing
6.25_27: 5.48% missing
6.26_31: 5.48% missing
6.27_33: 5.48% missing
6.28_36: 5.48% missing
6.29_41: 5.48% missing
6.30_43: 5.48% missing
6.31_45: 5.48% missing
6.32_46: 5.48% missing
6.33_48: 5.48% missing
6.34_48: 5.48% missing
6.35_48: 5.48% missing
6.36_48: 5.48% missing
6.37_48: 5.48% missing
6.38_48: 5.48% missing
6.39_48: 5.48% missing
6.40_48: 5.48% missing
6.41_48: 5.48% missing
6.42_48: 5.48% missing
6.43_48: 5.48% missing
6.44_48_CP: 5.48% missing
6.45_48: 5.48% missing
6.46_48: 5.48% missing
6.47_48: 5.48% missing
6.48_48_CP: 5.48% missing
6.49_48: 5.48% missing
6.50_48: 5.48% missing
6.51_48_CP: 5.48% missing
6.52_47_CP: 5.48% missing
6.53_47: 5.48% missing
6.54_46_CP: 5.48% missing
6.55_44_CP: 5.48% missing
6.56_44: 5.48% missing
6.57_43: 5.48% missing
6.58_43_CP: 5.48% missing
6.59_40_CP: 5.48% missing
6.60_39: 5.48% missing
6.61_39_CP: 5.48% missing
7.30_23_CP: 5.48% missing
7.31_39_CP: 5.48% missing
7.32_45: 5.48% missing
7.33_46_CP: 5.48% missing
7.34_47_CP: 5.48% missing
7.35_48_CP: 5.48% missing
7.36_48: 5.48% missing
7.37_48_CP: 5.48% missing
7.38_48_CP: 5.48% missing
7.39_48_CP: 5.48% missing
7.40_48: 5.48% missing
7.41_48_CP: 5.48% missing
7.42_48_CP: 5.48% missing
7.43_48: 5.48% missing
7.44_48: 5.48% missing
7.45_48: 5.48% missing
7.46_48: 5.48% missing
7.47_48: 5.48% missing
7.48_48: 5.48% missing
7.49_48: 5.48% missing
7.50_48: 5.48% missing
7.51_48: 5.48% missing
7.52_48: 5.48% missing
7.53_48: 5.48% missing
7.54_47: 5.48% missing
7.55_46: 5.48% missing
7.56_45: 5.48% missing
8.47_45: 5.48% missing
8.48_45: 5.48% missing
8.49_45: 5.48% missing
8.50_46: 5.48% missing
8.51_46: 5.48% missing
8.52_46: 5.48% missing
8.53_46: 5.48% missing
8.54_45: 5.48% missing
8.55_46: 5.48% missing
8.56_46: 5.48% missing
8.57_45: 5.48% missing
8.58_41: 5.48% missing
8.59_38: 5.48% missing
8.60_26: 5.48% missing
8.61_22: 5.48% missing
12.48_32: 5.48% missing
12.49_32: 5.48% missing
12.50_32: 5.48% missing
12.51_32: 5.48% missing
23.49_28: 5.48% missing
23.50_28: 5.48% missing
23.51_28: 5.48% missing
23.52_28: 5.48% missing
34.50_34: 5.48% missing
34.51_34: 5.48% missing
34.52_34: 5.48% missing
34.53_34: 5.48% missing
34.54_33: 5.48% missing
34.55_32: 5.48% missing
34.56_29: 5.48% missing
34.57_26: 5.48% missing
45.50_40: 5.48% missing
45.51_40: 5.48% missing
45.52_40: 5.48% missing
C1_47: 5.48% missing
C2_46: 5.48% missing
C3_46: 5.48% missing
C4_46: 5.48% missing
C5_45: 5.48% missing
C6_45: 5.48% missing
C7_44: 5.48% missing
C8_43: 5.48% missing
C9_42: 5.48% missing
C10_41: 5.48% missing
C11_41: 5.48% missing
C12_41: 5.48% missing
C13_40: 5.48% missing
C14_40: 5.48% missing
C15_39: 5.48% missing
C16_39: 5.48% missing
C17_39: 5.48% missing
C18_38: 5.48% missing
C19_37: 5.48% missing
C20_36: 5.48% missing
C21_36: 5.48% missing
C22_35: 5.48% missing
C23_35: 5.48% missing
C24_34: 5.48% missing
C25_33: 5.48% missing
C26_32: 5.48% missing
C27_31: 5.48% missing
C28_31: 5.48% missing
C29_30: 5.48% missing
C30_29: 5.48% missing
C31_29: 5.48% missing
C32_29: 5.48% missing
C33_28: 5.48% missing
C34_27: 5.48% missing
C35_26: 5.48% missing
C36_25: 5.48% missing
C37_24: 5.48% missing
C38_23: 5.48% missing
C39_23: 5.48% missing
C40_22: 5.48% missing
C41_21: 5.48% missing
N1_48: 5.48% missing
N2_45: 5.48% missing
N3_45: 5.48% missing
N4_44: 5.48% missing
N5_44: 5.48% missing
N6_44: 5.48% missing
N7_44: 5.48% missing
N8_44: 5.48% missing
N9_44: 5.48% missing
N10_43: 5.48% missing
N11_42: 5.48% missing
N12_42: 5.48% missing
N13_41: 5.48% missing
N14_41: 5.48% missing
N15_40: 5.48% missing
N16_40: 5.48% missing
N17_40: 5.48% missing
N18_39: 5.48% missing
N19_38: 5.48% missing
N20_38: 5.48% missing
N21_37: 5.48% missing
N22_36: 5.48% missing
N23_36: 5.48% missing
N24_35: 5.48% missing
N25_34: 5.48% missing
N26_32: 5.48% missing
N27_31: 5.48% missing
N28_31: 5.48% missing
N29_30: 5.48% missing
N30_28: 5.48% missing
N31_27: 5.48% missing
N32_26: 5.48% missing
N33_26: 5.48% missing
N34_25: 5.48% missing
N35_24: 5.48% missing
N36_24: 5.48% missing
N37_23: 5.48% missing
N38_22: 5.48% missing
N39_21: 5.48% missing
